Label Sentimen;cleaned_text
positif;bagus untuk belajar aplikasinya makasih aku bisa ketemu teman teman samaguruku buat yang sekolah kan tak bisa langsung masu sekolah pakai zoom aja makasih zoom pake nya gampang kok
netral;bagus sih bisa sangat membantu perkuliahan sa at ppkm dan psbb tapi saya saran kan menu untuk akses ke profil nya mohon sedikit di perbanyak saya nggak bisa update bio dan foto profil untuk pertemuan tanpa video call
negatif;reconnecting mulu saya jadi pusing kalau bisa juga mengoptimalkan koneksi internet para pengguna zoom yang internetnya tdk lancar lalu juga boros kuota sekali saya jadi harus menghabiskan kuota saya hanya dalam beberapa hari
negatif;saya bingung mau jengkel sama ini aplikasi atau hp saya dan atau diri saya sendiri saya mencoba mendwoandload app ini udah berkali kali dan gak bisa pasti tertunda saya udah menuruti arahan dari aplikasi nnya dari yg menghapus app yg tidak si pakai sampai yg tadinya memori internal saya sekarang jadi aja tetep gak bisa padahal hari ini saya ada zoom meeting jam pagi sedangkan sekarang udah jam tolong ini gimana mohon bantuannya
negatif;aplikasinya bagus tapi penggunaan data nya bisa dikurangi karena memboros paket di masa pandemi ini sih hrsnya pihak zoom mengurangi penggunaan data tolong pihak zoom mohon bisa dievaluasi
negatif;layarnya itu kayak blur jadi kita gak jelas liat orang nya terus siaranya kayak kesek gak jelas gitu padahal sinyalnya udah bagus tolong ya kami pelajar butuh yg lebih baik agar indonesia bisa maju karena kami adalah penerus bangsa jadi jangan sampai kami dihancurkan oleh politik
netral;aplikasinya sudah bagus tapi tolong kembalikan lagi fitur virtual background nya di versi tidak ada fitur virtual background nya padahal di versi ada fitur nya
negatif;untuk audio dan penampilan video cukup baik namun yg kurang itu virtual background masih belom support di handphone saya i hope the next update virtual background already supports all devices
negatif;mengecewakan akhir akhir ini sering tiba tiba keluar dari room padahal kondisi hp bagus dan internet pun lancar
negatif;kenapasih ini nggak bisa instal aplikasi ini tolong lah soalnya udah bbrapa kali di coba tapi tetep gak bisa tolong lah serga perbaikan soal ada meetings penting
negatif;tolong diperbaiki lagi masalah privasi dan bug aplikasi dan tolong ditambahkan lagi fitur fitur yang lebih lengkap dan limmit max anggota meeting nya di perbanyak lagi ya sukses selalu dan semoga ulasan ini membangun supaya aplikasi ini menjadi lebih baik lagi
negatif;sinyal jelek sedikit langsung keluar masuk otomatis sekalinya masuk lagi loadingnya lama apalagi kalo lagi belajar
negatif;tolong untuk zoom buat background nya jangan di batasi beberapa tipe handphone saja tolong untuk background nya bisa di semua tipe handphone
positif;aplikasikasinya lemot sih di download dari tadi loading mulu tertunda terus gimana sih tolong di perbaiki donk pihak zoom saya butuh buat belajar nih buruan donk diperbaikinya
negatif;sebenarnya saya suka aplikasinya tapi saya juga kesal karena anda membuat memo saya penuh dan membuat mood saya hilang ketika guru bilang tolong hidupkan kameranya karena tak adanya filter saya ganti pake bintang jangan dibawa kehati ya
netral;pengeluaran kouta yang banyak tapi sangat di butuhkan untuk kegiatan dan pembelajaran selama masa pandemi dan semua aktifitas online yang harus saya jalani fiturnya juga banyak dan mudah untuk di gunakan
negatif;kadang suka reconnecting entah sinyal atau memang platformnya mungkin perangkatnya bisa lebih diperbaiki makasih
negatif;setiap sigh up selalu ada tulisan tidak layak terua udh login ulang email tanggal lahir segala tetep ga bisa liat tutor yt tetep gabisa kenapa aku gabisa sigh up tulisan nya tidak layak terus malah pusing sendiri
negatif;mohon banget aplikasinya diperbaiki masa saya login malah keluar terus kadang juga susah bener nyalain suara suka eror apalagi di background ga bisa di semua android mohon diperbaiki semuanya
netral;ke depannya yang sore ini aku akan pergi dari tempat yang paling penting dari sebuah rumah di beri aku waktu bisa berubah warna dan ukuran yg mau di add ya ya ya pak gpp mudah an yg bisa bantu do a tsb dan keluarga selalu ada dalam masyarakat modern di bawah ini untuk mendapatkan produk lebih di kenal sebagai di indonesia dan keluarga serta dalam pembangunan bangsa di masa lalu dan dta angkatan laut as well saya bawa kendaraan yang melintas dari kemarin jam dan keluarga selalu ada untuk mengisi
negatif;sangat membantu sekali sayangnya blm bisa support d smua hp android untuk mengganti tampilan virtual backgroundnya
netral;aplikasi yang sudah bagus tapi tolong update lagi untuk menambahkan fitur yang sama di semua perangkat android agar bisa menggunakan virtual background yang dinilai sangat penting digunakan dalam suatu kegiatan semoga dalam waktu dekat fiturnya dapat tersedia terima kasih
netral;aplikasi bagus cuman sayang kenapa setiap pakai ni aplikasi bikin hp cepat panas bahkan kalau pakai zoom lebih dari menit panas banget
negatif;saya kasih dua bintang dulu bagus untuk komunikasi jarak jauh luar kota dengn kapasitas lebih dari wa bisa sampai orang namun mungkin bisa ditingkatkan lagi zoom berbayarnya saya tdk bisa ikut webinar karena kuota full sdh org dan sudah update malah nge lag jadi ketinggalan materi kuliah dan rapat mohon dipertimbangkan dan diperbaiki terimakasih
negatif;katanya buat perangkat redmi sama xiaomi bisa tapi pas ku coba gk ada virtua backgraund nya tolong di next update agar diperbarui biar bisa di semua jenis hp biar gk ribet
negatif;maaf ya aku kasih bintang soalnya aku gak bisa daftar aplikasi nya padahal besok aku mau belajar online disuruh guru aku untuk download aplikasi zoom ini tapi aku kok gak bisa daftar tolong perbaiki aplikasi nya tolong atau berikan aku cara buat daftar yang benar
negatif;aplikasi nya udh bagus sangat berguna untuk saya buat belajar online tetapi kekurangan nya tolong adain bhs indonesia nya waktu saya mau buat akun bhs nya inggris jadi saya kesusahan
netral;secara keseluruhan sudah bagus namun fitur virtual background belum support ke semua android version harap disempurnakan lagi agar bisa di update segera oleh user android terima kasih
netral;aplikasinya sangat membantu cmn kalo bisa kedepannya setiap bahasa inggris langsung ada terjemahannya bahasa indonesianya agar orang tua yang gagal paham dengan perintah pilihan pada aplikasi zoom bisa mengoperasikan dengan mudah
negatif;ngga bisa ganti virtual background lewat android semoga kedepannya semua hape bisa menggunakan fiture virtual background baik versi cpu android apapunnn tks
negatif;waktu mau gabung zoom ada tulisan preparing meeting lama connecting nya padahal sinyal udah bagus banget buat yg tau cara ngatasinnya tolong jawab ya
negatif;tolong perbaiki share screennya karena saat pergi kehalaman di sebelahnya lalu kembali lagi share screennya hanya ada gelap sedang kan bila tidak pergi ke halaman lain share screennya akan ngefreze padahal sudah pindah kehalaman lain
netral;apk ini memang berguna untuk sklh sy tetapi yg bikin sy terganggu itu mic tolong dongg bagi murid lain kalo km punya mata itu dipake mic tinggal klik unmute mudah gitu apa susahnya kuping sy jadi berdenging apalagi bagi yg jaringannya merah suarany ngelag sekian dari curhatan sy
negatif;maaf yang sebesar besarnya bagi pihak zoom setelah saya uptade kok makin bug ya kalau kita keluar dari zoom ingin lihat whatsapp kita akan tidak melihat share schreen nya terpaksa kita harus keluar baru masuk lagi tolong diperbaiki bagi pihak zoom dan virtual background juga tidak bisa bagi semua hp
positif;aplikasi ini sangat mudah di gunakan tinggal buka link dari yg di berikan guru di wa menurut jam yg di berikan kita bisa langsung live striming dg guru dan teman bagi yg blm mendonload jgn ragu coba saja
positif;selama pandemi pakai ini baik baik saja tdk ada kendala kecuali karena sinyal wifi jelek atau mati lampu makasih ya bermanfaat banget apk nya
negatif;halo hp saya sudah android dan zoom saya ver kok ttp gabisa ya pk virtual background mohon diperbaiki krna besok saya ada keperluan penting terima kasih banyak
netral;apk sudah cukup bagus namun sayang belum bisa ganti virtual beground untuk android saran saya tolong agar pengguna android juga bisa mengganti virtual beground agar lebih nyaman dan mantap ditunggu secepat
negatif;aplikasi zoom sangat membantu tapi agak tidak nyaman jika aplikasi terlalu besar yang membuat penggunanya tidak nyaman tapi untuk tampilan dan performanya ya dibilang cukup untuk video konferensi ya tapi agar penggunanya nyaman berilah aplikasi zoom zoom lite dengan ukuran yang ringan agar pengguna yang perangkatnya di kelas bawah kecil
negatif;hi developer knp yah kalo mau sign up sama sign in gk bisa failed terus dh kucoba berkali gk bisa mohon bantuan nya developer aplikasi ini di kembangkan lagi
negatif;tolong dong perbaiki lagi bugnya masa pas saya mau masuk ke dalam rapat zoomnya masa ga bisa masuk padahal saya udah masukin passcodenya dengan benar tapi tetep ga bisa masuk
positif;suka bangeet sama apl ini buat zoom sama guru juga gak lemot and gak putus putus juga bisa sampai banyak orang lhoo bisa sampai lebih orang lho cepetan download aplikasi ini untuk zoom
negatif;ini sudah bagus banget cuman kelemahanya sistem virtual backgrond nya tidk bisa dipkai dihp saya mohon dikembangkan menjadi semua hp android bisa menggunakan virtual backgrond
netral;untuk virtual background saya cuma kurang di gpu untuk versi android saya sudah melebihi semoga kedepannya bisa untuk semua versi android
positif;akun saya jadi eror dan tdk berfungsi dgn baik gara hacker atau keamanannya todak bagus sebelumnya sekarang udah bagus dan untuk keaman data oke banget
negatif;aplikasinya bermanfaat hny coba tambahkan filter kek di ig gitu dong bang supaya bisa menyamarkan dosa dan menutupi keburikan aing ketika bangun tidur supaya aing gak usah repot mandi lagi terimakasih selain dari itu the best lah
negatif;masalah sinyal sangat mengganggu hanya bisa menggunakan fitur mic video call nya mati dan sebaliknya
negatif;kenapa saya sudah masukan gmail saya selalu saja gagal nggak bisa failed saya sudah mencoba berkali kali tetap tidak bisa gimana sih pihak zoom saya sudah ganti email baru masih tetap tidak bisa padahal saya belajar menggunakan aplikasi ini
negatif;virtual beground nya tidak bisa digunakan di semua hp tolong diperbaiki apalagi untuk kegiatan yang mengharuskan menampilkan virtual beground tetapi tidak bisa apalagi sekarang ppkm pasti aplikasi ini lebih sering digunakan tolong di update lagii terimakasih
negatif;maaf saya beri bintang dua saya mau memulai zoom pas aku mengetik kodenya bisa tapi saat mau muncul dilayar lalu aku kodein lagi malah tulisan nya incored meeting passcode please try again jadi gagal mau ngezoom malah mengaruhi memo saya
netral;aplikasi ini sangat membantu dalam berkomunikasi tapi sayangnya virtual background belum muncul saat klik more padahal versi hp saya bagaimana cara agar virtual background bisa aktif
negatif;pas make zoom pake compter tiba tiba layar hitam apakah ini bug sedangkan pas awal awal masuk meeting zoom kamera baik aja pas udah lama tiba tiba kamera zoom hitam jika ini bug mohon perbaiki jika sudah diperbaiki saya naikan bintang menjadi
negatif;tolong zoom perbaiki saya tidak bisa masuk walaupun intetnet saya lancar kalau pakai aplikasi lain maaf saya beri bintang jika sudah benar saya ber bintang
negatif;mohon maaf sebelumnya karena saya kasih bintang satu saya mau tanya kepada pihak zoom kenapa setiap saya mau sign up selalu tidak bisa padahal dulu bisa kenapa sekarang tidak bisa itu saja yang mau saya sampaikan semoga cepat diperbaiki ya pihak zoom
negatif;appnya udah bagus tapi tolong agar virtual backgroundnya bisa di pakai oleh semua brand handphone dan mohon vitual backgroundnya juga bisa dipakai untuk pengguna yang ram nya di bawah gb oh iya satu lagi tolong perbaiki agar kalo kita kluar aplikasi suaranya ga ilang dan tetep ada thanks
negatif;pengen nangiss ko apk ny gk bsa di download pati ad tulisan tidk dpt mngistal zoom cba lgi dn jk msh tk brfungsi lhat cra umum untk mmprbaiki pdhl smuanya udh di atur memory ny jg ko ttp muncul ky gtu
negatif;ini udh bagus banget tapi kekurangan fitur backgroundnya tolong dikasih ya soalnya aku kayak gini karena sering disuruh pake background waktu mpls
negatif;bagus si apk nya hanya saja sekarang paket data dari pemerintah belum ada trs disuru instal apk ini mana nyerot data lagi belum lagi pelajaran ny gg disampein gurunya sulit sulit g berhubung si tapi ya gitu
netral;aplikasi ini sudah sangat bagus dan sangat membantu saya sebagai pelajar untuk belajar dimasa pandemi seperti sekarang tapi tolong saya minta fitur virtual background yang bisa digunakan di semua merk hp dan usahakan ram nya yang kecil terimakasih
negatif;hai developer jujur apk zoom ini sangat berguna bagi saya hanya saja fitur virtual background tidak bisa saya pakai hanya di beberapa versi android jadi saya harap update terbaru nanti smartphone saya bisa menggunakan fitur tersebut
negatif;kenapa ini gak bisa didownload padahal besok saya ada zoom dari sekolah tdi katanya ruang tidak cukup kosongkan ruang jadi saya mengosongkan ruang penyimpanan hp saya dngn ruang yang kira kira sudah cukup setiap mau download dan sudah mencapai maka tidak akan berlanjut lagi dan saya disuruh download ulang bahkan saya telah lakukan saran dari google dengan menghapus chace lalu data dari playstore juga telah matikan daya hp saya lalu dihidupkan lagi tapi tetap tidak bisa bagaimana ini
positif;aku suka apl ini membantu ku untuk sekolah online dan aku suka apl ini sih tapi aku sudah pake tablet tapi kok masih ga bisa ganti bangraun ya mohon di perbaiki zoom nya ya walau aku punya laptop aku masih kesusahan dan juga loding nya lama gabisa masuk dan kadang bener ga bisa masuk kalo sudah diper baiki aku kasih deh makaih
negatif;tolong untuk developernya perbaikin bugnya karena guru yang menerangkan gak bisa masuk ke otak saya mungkin otak saya yang ngelag atau aplikasinya yang ngebug aplikasi ini cocok untuk belajar bukan berkomunikasi tapi perbaiki bugnya dulu dan tambahin fitur pengatur durasi belajar biar gurunya gak seharian mengajar terus kami juga butuh maen game terimakasih mau mabar mobile legends bantuin gw masih epic abadi
negatif;kenapa saat saya mau sign in selalu tidak bisa virtual backround pun tidak bisa lalu ketika jaringan jelek tiba tiba keluar sendiri saat jaringan bagus tetapi suaranya malah putus putus
negatif;next update tolong untuk virtual background nya mensupport semua jenis merek hp dan ram prosesnya tolong di permudah dari minimal yg terkecil agar bisa semua jenis hp menggunakan virtual background di zoom
negatif;aplikasi zoom sangat membantu untuk mempermudah belajar kuliah dan bekerja jarak jauh namun alangkah lebih baik nya jika zoom men support virtual background di semua android terutama saya yang selalu ikut webinar tapi tidak bisa memunculkan virtual background karena kendala ini padahal itu merupakan syarat utama agar webinar berjalan dengan tertib mohon untuk perbaikan secepatnya
negatif;tolong di perbaiki atuh kenapa profil selalu hilang di settingan kuliah saya memakai name room jadi harus gonta ganti nama terus sedangkan edit profil nya selalu hilang
negatif;mohon ditingkatkan lagi diusahakan lagi agar semua android bisa menggunakan fitur yang sama pula terutama fitur background karna itu sangat penting
positif;apk nya bagus sy sebagai seorang pelajar juga ikut terbantu dalam mengikuti pembelajaran di masa pandemi seperti ini kalian juga jangan lupa stay save ya dan sy berterima kasih kepada dev yg bikin apk ini thx
negatif;duhh ini apk nya udh bagus tapi kenapa sih fitur virtual background cuma bisa dipake di beberapa perangkat doang aku diwajibin buat pake background khusus dari sekolah setiap zoom meeting tau ga
negatif;kenapa virtual background di oppo phone android tidak ada option nya sedangkan di xiaomi pochopone f ada option nya membingungkan
negatif;bagus kok hanya klo lagi zoom itu kok audionya gk bersuara knp y padahal udh dipencet join audio tau taunya keluar wifi or data celular padahal udah ku idupin daya selularnya gmn y
negatif;apk nya ribet susah klo gak punya hp snap drgon tidak bisa di pakai secara optimal khusus nya pengguna android kelas bawah seperti saya payah
negatif;mana dih virtual background nya os hp ku udah versi zoomnya udah masa masih gak bisa hp ku juga oppo ayolah bisa digunain buat semua hp android jangan pilih kasih jadi aplikasi
positif;di masa pandemi covid ini saya merasa terbantu dengan aplikasi zoom ini semua aktivitas belajar secara online dapat saya lakukan dengan aplikasi zoom ini terimakasih
netral;apl apa ini saya lagi push rank tiba tiba ada pesan dari guru di suruh masuk zoom dan di beri link saat masuk link nya saya malah di suruh kerjain tugas dahlah bug yg tidak menyenangkan
netral;aplikasinya bagus cukup baik untuk daring saat kuliah berlangsung cuman agak lebih di kembangkan agar penggunaan kuota tidak terlalu tinggi
positif;dengan era globalisasi yg sangat modern seperti ini aplikasi zoom cloude sangat amat membantu dan kami para orang tua bisa mengontrol dan mengetahui frekwensi perkembangan anak kita di kampus sekaligus pelajaran yang sangat berharga bagi kami para orang tua yg pada zaman nya blom merasakan aplikasi perangkat zoom cloude seperti sekarang ini dan saya sebagai orang tua bangga dan tidak menyesal tuk memasukan anak saya kuliah di lpkia kampus dgn tenaga pengajar profesional dan modernisasi
negatif;menurut saya aplikasi ini kurang bagus dan juga saya tidak pernah melihat bug di aplikasi ini saya mohon untuk tidak memenuhi memori dan untuk update lebih baik tampilan dan lain lain dan jika tidak memakai headset bakalan berisik
netral;cukup bagus tapi tolong fiturnya untuk yang versi mobile di android khususnya hp xiomi resmi vivo dll tambah seperti yang versi pc agar bisa menambah atau mengganti background tolong cepat ditambah
negatif;sekarang tidak bisa menjalankan aplikasi lain dalam zoom seperti musik otomatis mati saat join ke meeting zoom
positif;aplikasi ini sangat membantu untuk belajar online terima kasih ya untuk aplikasi zoom aku jadi bisa belajar bersama teman teman lagi dan guru walau pun masih ada covid tapi aku jadi semangat belajar di zoom terima kasih zoom btw nama ku faisa
netral;sudah bagus aplikasinya tetapi untuk virtual background khusus android di mohon di update lagi agar semua pengguna android versi apapun bisa digunakan terima kasih
negatif;saat pandemi seperti ini yg semuanya diharuskan virtual entah itu rapat atau apapun itu seharusnya apk nya juga mendukung salah satunya dengan mengaktifkan fitur background untuk semua merk hp karena ketika meet itu kadang diwajibkan untuk memakai background sedangkan yg zoomnya lewat hp sebagian merk tidak bisa memakainya
negatif;aplikasi zoom ini sangat bagus dan membantu saya untuk pembelajaran daring selama kuliah namun untuk penggunaan virtual background tidak bisa di aplikasikan pada perangkat android saya hal ini membuat saya agak kesulitan karena harus membuka apk zoom di laptop yang tentunya lebih menguras kuota mohon untuk zoom agar mengupdate agar fitur virtual background juga bisa digunakan pada perangkat android dengan snapdragon terimakasih
netral;sudah bagus dan sangat membantu tatap muka secara virtual tapi mohon untuk diupdate agar virtual background bisa digunakan melalui hp android terimakasih
negatif;knpa kok zoom nya gak bisa di download ya padahal jaringan bagus ruang penyimpanan juga tersedia tp pada saat mendownload gagal terus
negatif;versi ini keluar masuk terus dari zoom mohon lebih ditingkatkan terhusus daerah jaringannya kurang mendukung
negatif;tolong perbaiki lg zoom nya karna sejak saya gunakan untuk masuk meeting selalu keluar sendiri terus dan tiba masuk sendiri jg jadi sulit untuk bisa ikut webinarnya
netral;zoom the best cuma lebih dri jam bernayar hrpnnya di tengah pandemi saat ini zoom bisa melihat dan membntu dengan memberikan wktu yg lebih panjang terimakasih
negatif;kenapa ga bisa di install si penyimpanan hp saya ada data dan koneksi internet lancar tapi kok tetap ga bisa habis gb uat install zoom doang tapi tetap ga kepasang juga di hp ini gimana si tolong dong diperbaiki
negatif;baru pertama sih pake zoom dan disuruh nanti zoom nya pake virtual background pas nyari caranya eh taunya klu dr android bisanya snapdragon kepala minimal tolonglah zoom virtual background nya bisa dipake dibawah kepala gitu
negatif;untuk hp samsung a knp kameranya gak bisa dipakai ya padahal sudah di berikan izin dri hp nya tolong bantuannya terimakasih
negatif;tolong untuk di perbaiki lg knp zoom saya tidak bisa masuk ke webinar selalu ada tulisan error code tolong di perbaiki karena sangat penting untuk kuliah saya klw seperti ini saya tidak bisa mengikuti webinar kuliah saya mohon untuk diperbaiki
negatif;kenapa harus download yg premium dulu baru bisa zoom meeting yg lama strategi marketing yg bagus tapi menyusahkan yg lain disaat keadaan susah
netral;aplikasi ini sangat membantu saya untuk zoom meeting disaat pandemi covid ini tapi ada beberapa hal kendala yang harus diperbaiki lagi yaitu jangan terlalu banyak makan kouta internet kadang kadang suara dosen saya tidak pernah kedengaran padahal sinyal internet bagus bagus tapi kadang lelet juga mohon diperbaiki lagi nya
negatif;buat zoom harusnya di hp android mana pun diharapkan bisa ganti background karena susah banget klo hanya android tertentu yang cuma bisa pake vitur ganti background terimakasih
netral;terimakasih zoom telah membantu saya untuk ngaji terimakasih banyak yaa ohiya aku pengen ngomong sesuatu kenapa diupload terus sih tolong lah jangan diuplad terus nanti kalau uplad terus kuota saya habis nanti makanya jangan ya kepada admin ini sudah bagus tapi jangan upload terus yaa jarang jarang aja biar hemat kuota saya yaa
negatif;untuk update kedepannya ada baiknya agar fitur virtual background bisa tersedia di hp tablet dengan requirement yang lebih rendah atau dibawah requirement sekarang seperti hp real me atau tab samsung s lite
netral;aplikasinya sangat membantu dalam aktifitas meeting di pekerjaan saya juga aktifitas yang lainnya tapi sayangnya di hp saya merk samsung type j tidak muncul vitur mengganti virtual background walaupun saya sudah update zoom meeting yg terbaru
negatif;untuk zoom meeting tolong untuk merk handphone realme diberikan kesempatan agar bisa mengganti background lewat handphone karena saya kesusahan apabila zoom di laptop dan kameranya pun tidak bagus namun di hp bisa tetapi kendalanya ada pada background yang tidak bisa diganti mohon untuk pihak zoom memperbolehkan handphone merk realme dan merk lainnya agar dapat menikmati fitur background di handphone masing masing terimakasih
negatif;tolong diperbaiki hp saya ram sistem android aplikasi zoomnya juga update tp kenapa tidak bisa virtual background bukan tidak bisa tapi tidak ada menu untuk memasang backgroundnya
negatif;kenapa realmi c gabisa virtual background padahal semua kriteria udah lengkap kek android versi zoom pun sudah terbaru kenapa thanks
positif;sangat bagus gambar tidak pecah audio oke all in semua yang saya gunakan di zoom sangat mudah di aplikasikan
negatif;fitur virtual background apakah memang tidak bisa digunakan ya untuk perangkat realme padahal secara spesifikasi hp saya sudah memenuhi kriteria minimal yg disyaratkan tetapi pas saya coba tetep saja tidak muncul pilihan menu untuk mengganti virtual background nya kenapa bisa begini
negatif;maaf sebelumnya mengapa saya terus menerus keluar dari zoom padahal saya sudah coba hapus data dan install ulang tapi tetap sulit untuk mengikuti meeting mohon diberi perhatian padahal ram saya dan penyimpanan saya besar
netral;aku udah download dulu dan terhapus setelah aku download lagi untuk belajar ga bisa di download dan zoom ini memakan kuota terlalu banyak mohon di bantu terimakasih
negatif;aplikasinya sudah mulai eror stelah di update sering keluar masuk bikin emosi saja padahal jaringan bagus
negatif;ini bagus tapi saran saya tolong memakan kouta jangan telalu banyak dan membikin latar belakan saran kita melakukan zoom biar tidak keliatan benda benda yg di belakang kita itu aja saran dari saya mohon di mengerti yah
netral;deskripsi am no white house down the right keyword stats for new york city new year with lyrics on screen protector for your current time shifting personal site to the moon back to top model tayang dari al qur an yang ada di indonesia dengan menyediakan waktu untuk membaca dan menulis dan berbagi permainan yang menyenangkan dan mudah di gunakan sebagai berikut ini beberapa adegan tanpa harus menggunakan ekstra untuk melakukan hal itu akan menjadi orang sukses yang diraih pada tahun yang akan dat
negatif;kenapa kalo saya pas pake zoom nya menggunakan hp itu fungsi kamera sama audionya kadang gk mau nyala padahal udah ditekan berkali kali kadang juga kameranya udah hidup tapi di layar orang lain itu wajah saya gak muncul tolong diperbaiki ya
negatif;virtual backgroundnya tidak berfungsi tolong zoom diperbaiki masa iya harus handpon yang bagus kan tidak semua punya handpon bagus tidak semua kaya
negatif;virtual backgroudn hanya untung ram keatas meski sudah ram tapi cpu bukan snapdragon exynos tetep gak bisa tolong di perbaharui agar bisa untuk semua cpu terima kasih
negatif;halo aplikasi ini bagus tapi ayahku mau belajar menmakai zoom saya pencet disconnect audio langsung tidak ada suara kita mau di kasih kembali tidak bisa di kasih kembali minta tolong di perbaikin ini
negatif;aplikasi nya bagus sekali tapi tolong perbaiki sedikit kesalahan teknis ketika zoom kadang suaranya putus putus semuanya apa karena handphonenya androids bukan ios
negatif;aplikasinya bagus mudah dipakai ringan ga lemot sayangnya utk versi trial a k a tdk berlangganan hanya dibatesin menit abis itu mati tiba huft
netral;akhir akhir masuk zoom kok susah kalo pake wifi rumah padahal sebelumnya lancar lancar saja btw wifi rumah pakai paket internet kecepatan mbps
netral;alasannya saya kasih bintang dikarenakan gak bisa mengantikan background sedangkan di hp diatas ram bisa setidaknya dengan apk ini diberikan kemudahan bagi yang perlu dengan apk ini jangan hanya untuk hp diatas ram aja sedangkan kami nya yg dibawah ram juga membutuhkan virtual background untuk pendidikan sekolah kami terima kasih
positif;aplikasi nya bagus dapat mempermudah kita berkomunikasi secara virtual dengan baik lancar tidak ada masalah wajib diberi rating tinggi
negatif;gimana sih kok saya udah nyalain video tapi di participant off mohon diperbaiki jadinya saya dikeluarkan dari zoom karena dikira off mohon perbaikan sekarang juga
negatif;min kalau bisa dibuat bisa virtual background untuk smartphone tipe lain dalam arti lebih banyak smartphone yg bisa virtual background kalau sudah diperbaiki seperti itu ratingnya akan saya ubah
negatif;jadi kalo kita pake apk zoom versi lama klo kita ngezom wajah kita tidak nampak padahal panel video nya ud dibuka eh rupanya musti di upgrade gmna coba yang hape nya memori ram udah penuh
positif;pembelajaran online lewat zoom fitur fitur nya tolong dipermudah supaya gampang dipahami anak anak karena anak anak sekarang belajar sudah bnyak yg menggunakan zoom
positif;zoom membuat kami bisa pertatap muka walaupun tidak bertatap muka langsung tetapi ada zoom zoom yang terbaik ayo semua donlot zoom sekarang bagus dan bermanfaat
negatif;tolong untuk zoom yg di hp agar dibisakan untuk fitur filter dan ketika masuk agar tidak perlu set up nama lagi karena akunnya sudah tertaut otomatis ketika kita ngeklik appnya terimakasih banyak
negatif;aplikasi ini membutuhkan jaringan yang sangat kuat jika tidak akan suka keluar aplikasi secara tiba tiba apalagi jaringan disini suka bermasalah maaf tapi gugel meeting is still number one tp kenapa ujian ini pake zoom siih keslekdnbdjwkakksksjsjah kesel
positif;aplikasi zoom ini rekomendasi banget buat para pelajar online sekarang soalnya kualitasnya bagus banget cuman lumayan boros kuota tapi setara kok dengan kualitas vidcall yang bagus
negatif;kalau bisa saran untuk developer aplikasinya tolong diberi nada atau suara ketika ada orang yang masuk ke ruangan biar kami sebagai host bisa mengetahui kalau ada yang masuk kalau tidak ada suara terkadang kita tidak tahu sehingga dibiarkan orang menunggu lama untuk masuk ke ruangan terima kasih
negatif;setting awal yg aneh buat app video call masa audio musi di konek dulu baru ada suara alias budek di sini orangnya manggil gak kedengeran gara setting gini wawancara gw berantakan
negatif;zoom memang sangat membantu dulu tidak pernah not responding tetapi sekarang sering not responding yang mempengaruhi aplikasi lain
negatif;maaf ya tapi ko di hp saya zoom yg saya download kadang bisa didownload kadang gak bisa kenapa ya dan terus gm nya juga gak terlalu banyak dari yg ini dulu itu gm zoom ini hanya gm dan kenapa sekarang diubah jadi gm terus nanti apa diganti lagi jadi gm tolong jangan diubah gm nya ya karena nanti bikin hp orang gak bisa download zoom ini kan kasihan jadi saya sarankan yang membuat aplikasi zoom ini jangan mengubah zoom ini dengan tingkat yang tinggi kalau bisa direndahkan sedikit ya tks
positif;aplikasi ini sangat membantu saya guru les dan sekolah saya sering memberikan materi lewat zoom menggunakan screen dan itu sangat membantu terimakasih zoom tapi saran saya semoga zoom bisa memakan lebih sedikit kouta agar pemakaian kami tidak terlalu boros
positif;aplikasi ini sangat membantu untuk sekolah tatap muka secara virtual tak hanya itu this app juga bisa video call dengan jumlah orang yg sangat banyak dll
netral;bagus sih banget tapi kadang ada orang yang gak bisa menggunakannya hanya sekedar saran gimana kalau ada tutorialnya di pengaturan untuk para pemula tetap saja saya support karena ini saya dapat ngerjain tugas dll menjadi lebih mudah
netral;aplikasi ny bagus sih tapi gak semua hp bisa lancar jaringan ny saya baru ngisi kouta dan kouta tersebut masih full gitu dan saya langsung buka aplikasi zoom ini langsung ngellek begitu saja padahal saya belum klic apa apa tolong di bagusin aplikasi zoom ini saya janji klo aplikasi ini sudah diperbaiki saya akan beri bintang anak pintar tunjuk tangan
negatif;tolong diperbaiki masalah terkeluar sendiri dan masalah pas masukkan passwordnya salah padahal passwordnya udh benar diperbaikiiiii
negatif;sebener nya aplikasi nya bagus dan berguna sayang gak semua merk hp bisa support virtual background padahal sdh pake zoom versi terupdate hp ram gb snapdragon gpu android tetap juga gak bisa
netral;bagi yg bilang jelek itu hanya karena malas sekolah saja mereka tidak tau kalo tanpa aplikasi ini dan aplikasi belajar lainnya mereka ga akan bisa belajar di situasi pandemi seperti ini dan mendapat ilmu yg nantinya akan sangat berguna bagi masa depan mereka
netral;sayangnya ketika meeting menggunakan perangkat audio wireless bluetooth mati sebelah hanya berfungsi satu sisi saja yaitu headset kanan
negatif;tolong untuk microphone ketika bru masuk room jangan langsung nyala kasian orang yg kelupaan mute jadi suara terdengar ke semua audience
negatif;waktu ngezoom org lain gk bisa denger suara saya tapi waktu pakai vn di wa orang lain bisa dengar suara saya ini bukan headset saya yang bermasalah mohon diperbaiki
